feature_name,mean_gain,importance_rank
vol_atr_14,22221.5507,1
trend_aroon_osc_50,15720.9444,2
interact_natr_x_adx,12503.1085,3
btc_funding_spread_30_90,12022.4202,4
mom_macd_line_12_26_9,11947.4575,5
oi_delta_30_z90,11430.0223,6
stat_autocorr_lag5,10771.8755,7
stat_kurtosis_20,9586.012,8
trend_adx_14,9449.2536,9
long_short_zscore_30,8468.2818,10
vol_natr_14,7849.6953,11
funding_rate_zscore_90,7706.7557,12
stat_skew_20,7456.9448,13
vol_cmf_14,6718.9816,14
mom_macd_hist_12_26_9,5931.4488,15
vol_bb_bandwidth_20,5250.4489,16
funding_rate_zscore_30,4615.6671,17
mr_pct_from_low_20,4483.3637,18
vol_mfi_14,4356.6243,19
trend_plus_di_14,3195.9052,20
trend_minus_di_14,3187.0134,21
trend_aroon_osc_14,2992.2118,22
interact_stoch_x_adx,2414.3494,23
mr_pct_from_high_20,2153.1467,24
interact_rsi_x_adx,1697.0116,25
interact_rsi_x_natr,1598.5082,26
mom_stoch_d_14,1419.5597,27
mom_willr_14,1373.2598,28
regime_momentum_signed_5d,1338.0124,29
trend_supertrend_14_3,1319.9343,30
stat_return_5,1155.5691,31
mom_stoch_k_14,1098.2866,32
mom_rsi_14,1032.4174,33
trend_ema_cross_5_12,992.9792,34
mom_roc_10,990.3856,35
cal_dow_norm,919.8132,36
vol_volume_rel_20,590.8667,37
vol_range_spike_72,509.0414,38
vol_range_spike_24,468.2655,39
vol_volume_pctchg_5,393.2103,40
vol_taker_buy_ratio,389.6351,41
interact_ret1_x_ret3,386.857,42
stat_log_return_1,219.9405,43
interact_ret1_x_natr,209.9661,44
mr_rsi_extreme_14,20.2009,45
cal_hour_norm,4.4636,46
dot_vs_btc_ret_ratio_30,0.0,47
eth_vs_btc_ret_ratio_30,0.0,48
