family_a,family_b,ic_mean_fisher,ic_median,ic_iqr_low,ic_iqr_high,n_features_a,n_features_b
calendar,calendar,0.005284,0.005283,-0.000742,0.011308,2,2
calendar,interaction,-0.015524,-0.015524,nan,nan,2,6
calendar,mean_reversion,-0.014958,-0.014958,nan,nan,2,26
calendar,momentum,0.005396,0.005396,nan,nan,2,36
calendar,statistical,0.009854,0.009854,nan,nan,2,24
calendar,trend,0.006623,0.006623,nan,nan,2,39
calendar,volatility,0.009817,0.009817,nan,nan,2,40
calendar,volume,0.013737,0.013737,nan,nan,2,20
interaction,interaction,-0.010410,-0.019531,-0.023125,0.009046,6,6
interaction,mean_reversion,0.157297,0.157297,nan,nan,6,26
interaction,momentum,0.122459,0.122459,nan,nan,6,36
interaction,statistical,-0.029781,-0.029781,nan,nan,6,24
interaction,trend,0.159588,0.159588,nan,nan,6,39
interaction,volatility,0.731927,0.731927,nan,nan,6,40
interaction,volume,0.110310,0.110310,nan,nan,6,20
mean_reversion,mean_reversion,0.008577,-0.003164,-0.010492,0.021760,26,26
mean_reversion,momentum,0.464575,0.464575,nan,nan,26,36
mean_reversion,statistical,-0.063427,-0.063427,nan,nan,26,24
mean_reversion,trend,0.264049,0.264049,nan,nan,26,39
mean_reversion,volatility,0.113934,0.113934,nan,nan,26,40
mean_reversion,volume,0.341994,0.341994,nan,nan,26,20
momentum,momentum,-0.011653,-0.011241,-0.018615,-0.008128,36,36
momentum,statistical,0.030950,0.030950,nan,nan,36,24
momentum,trend,0.693618,0.693618,nan,nan,36,39
momentum,volatility,0.045076,0.045076,nan,nan,36,40
momentum,volume,0.766581,0.766581,nan,nan,36,20
statistical,statistical,-0.019663,-0.018975,-0.023187,-0.014085,24,24
statistical,trend,0.028017,0.028017,nan,nan,24,39
statistical,volatility,0.002677,0.002677,nan,nan,24,40
statistical,volume,0.057147,0.057147,nan,nan,24,20
trend,trend,-0.009381,-0.016313,-0.023088,0.001930,39,39
trend,volatility,0.106578,0.106578,nan,nan,39,40
trend,volume,0.667447,0.667447,nan,nan,39,20
volatility,volatility,0.011741,0.006814,-0.000620,0.029717,40,40
volatility,volume,0.055737,0.055737,nan,nan,40,20
volume,volume,0.008050,0.011206,-0.008706,0.027960,20,20
