symbol,open_time,close_time,net_weighted,net_raw,weight,month,regime
BTCUSDT,1742169599999,1742774400000,4.143300,4.143300,1.0000,2025-03,BTC_DOWN
XRPUSDT,1742486399999,1743091200000,3.961200,3.961200,1.0000,2025-03,BTC_FLAT
DOTUSDT,1742515199999,1743120000000,5.041000,5.041000,1.0000,2025-03,BTC_UP
ETHUSDT,1742515199999,1742803199999,-4.464600,-4.464600,1.0000,2025-03,BTC_UP
AAVEUSDT,1742716799999,1742831999999,-5.174500,-5.174500,1.0000,2025-03,BTC_FLAT
ETHUSDT,1742889599999,1743148799999,6.670300,6.670300,1.0000,2025-03,BTC_FLAT
BTCUSDT,1742918399999,1743263999999,4.770100,4.770100,1.0000,2025-03,BTC_FLAT
AAVEUSDT,1742918399999,1743206399999,9.383300,9.383300,1.0000,2025-03,BTC_FLAT
AAVEUSDT,1743292799999,1743407999999,-6.315900,-6.315900,1.0000,2025-03,BTC_FLAT
XRPUSDT,1743321599999,1743407999999,-5.114800,-5.114800,1.0000,2025-03,BTC_FLAT
BTCUSDT,1743350399999,1743523199999,-2.500800,-2.500800,1.0000,2025-04,BTC_FLAT
DOTUSDT,1743436799999,1744012799999,11.671100,11.671100,1.0000,2025-04,BTC_FLAT
ETHUSDT,1743436799999,1743695999999,-4.349000,-4.349000,1.0000,2025-04,BTC_FLAT
AAVEUSDT,1743494399999,1743638399999,-6.320800,-6.320800,1.0000,2025-04,BTC_FLAT
XRPUSDT,1743494399999,1743638399999,-5.301500,-5.301500,1.0000,2025-04,BTC_FLAT
BTCUSDT,1743724799999,1743983999999,-3.691000,-3.691000,1.0000,2025-04,BTC_DOWN
AAVEUSDT,1743724799999,1743983999999,-7.841600,-7.841600,1.0000,2025-04,BTC_DOWN
XRPUSDT,1743724799999,1743983999999,-6.521000,-6.521000,1.0000,2025-04,BTC_DOWN
ETHUSDT,1743782399999,1743983999999,-5.331200,-5.331200,1.0000,2025-04,BTC_FLAT
BTCUSDT,1744156799999,1744415999999,9.607300,9.607300,1.0000,2025-04,BTC_FLAT
DOTUSDT,1744300799999,1744905600000,6.586200,6.586200,1.0000,2025-04,BTC_FLAT
AAVEUSDT,1744329599999,1744934400000,5.224600,5.224600,1.0000,2025-04,BTC_DOWN
XRPUSDT,1744329599999,1744934400000,5.071800,5.071800,1.0000,2025-04,BTC_DOWN
ETHUSDT,1744415999999,1745020800000,1.301700,1.301700,1.0000,2025-04,BTC_FLAT
BTCUSDT,1744646399999,1745222399999,-3.925800,-3.925800,1.0000,2025-04,BTC_FLAT
DOTUSDT,1744991999999,1745395199999,11.241900,11.241900,1.0000,2025-04,BTC_UP
AAVEUSDT,1745020799999,1745251199999,-5.648300,-5.648300,1.0000,2025-04,BTC_UP
XRPUSDT,1745020799999,1745337599999,-4.569500,-4.569500,1.0000,2025-04,BTC_UP
ETHUSDT,1745107199999,1745308799999,-4.005600,-4.005600,1.0000,2025-04,BTC_UP
AAVEUSDT,1745337599999,1745395199999,-5.272700,-5.272700,1.0000,2025-04,BTC_UP
XRPUSDT,1745452799999,1745827199999,-4.313700,-4.313700,1.0000,2025-04,BTC_UP
DOTUSDT,1745481599999,1746086400000,3.370000,3.370000,1.0000,2025-05,BTC_UP
AAVEUSDT,1745481599999,1745654399999,-5.633000,-5.633000,1.0000,2025-04,BTC_UP
BTCUSDT,1745510399999,1746115199999,-2.927800,-2.927800,1.0000,2025-05,BTC_UP
ETHUSDT,1745740799999,1746345600000,-2.166600,-2.166600,1.0000,2025-05,BTC_UP
AAVEUSDT,1745740799999,1746115199999,-6.053900,-6.053900,1.0000,2025-05,BTC_UP
XRPUSDT,1745913599999,1746518400000,8.084500,8.084500,1.0000,2025-05,BTC_UP
DOTUSDT,1746172799999,1746748799999,-5.173500,-5.173500,1.0000,2025-05,BTC_UP
BTCUSDT,1746201599999,1746719999999,-2.314400,-2.314400,1.0000,2025-05,BTC_UP
AAVEUSDT,1746201599999,1746691199999,-5.802100,-5.802100,1.0000,2025-05,BTC_UP
ETHUSDT,1746431999999,1746547199999,-3.305500,-3.305500,1.0000,2025-05,BTC_FLAT
XRPUSDT,1746604799999,1746719999999,-3.624800,-3.624800,1.0000,2025-05,BTC_FLAT
ETHUSDT,1746662399999,1746691199999,6.367300,6.367300,1.0000,2025-05,BTC_FLAT
BTCUSDT,1746835199999,1747036799999,-2.499800,-2.499800,1.0000,2025-05,BTC_UP
XRPUSDT,1746835199999,1746892799999,-4.001100,-4.001100,1.0000,2025-05,BTC_UP
AAVEUSDT,1746979199999,1747180799999,-6.878100,-6.878100,1.0000,2025-05,BTC_UP
XRPUSDT,1746979199999,1747036799999,-4.501000,-4.501000,1.0000,2025-05,BTC_UP
DOTUSDT,1747065599999,1747670400000,10.691200,10.691200,1.0000,2025-05,BTC_UP
BTCUSDT,1747123199999,1747583999999,-2.588500,-2.588500,1.0000,2025-05,BTC_UP
XRPUSDT,1747151999999,1747353599999,-5.795400,-5.795400,1.0000,2025-05,BTC_UP
AAVEUSDT,1747267199999,1747411199999,-6.446700,-6.446700,1.0000,2025-05,BTC_UP
ETHUSDT,1747295999999,1747612799999,-6.348200,-6.348200,1.0000,2025-05,BTC_UP
XRPUSDT,1747439999999,1748044800000,-3.598000,-3.598000,1.0000,2025-05,BTC_UP
AAVEUSDT,1747497599999,1747583999999,-7.248100,-7.248100,1.0000,2025-05,BTC_UP
ETHUSDT,1747699199999,1748304000000,1.306900,1.306900,1.0000,2025-05,BTC_FLAT
