feature_name,mean_gain,importance_rank
vol_atr_14,9531.0972,1
trend_adx_14,7773.145,2
stat_autocorr_lag5,7008.6314,3
trend_aroon_osc_50,5795.0669,4
mom_macd_line_12_26_9,4778.9658,5
interact_natr_x_adx,4454.3501,6
oi_delta_30_z90,4334.9577,7
stat_skew_20,4214.4146,8
btc_funding_spread_30_90,3919.4038,9
stat_kurtosis_20,3358.7518,10
mom_macd_hist_12_26_9,2868.3082,11
vol_cmf_14,2816.4307,12
trend_plus_di_14,2687.9751,13
vol_natr_14,2563.3883,14
long_short_zscore_30,2441.4026,15
vol_bb_bandwidth_20,2439.7505,16
trend_minus_di_14,2380.8093,17
mr_pct_from_low_20,2015.0112,18
mr_pct_from_high_20,1490.1184,19
funding_rate_zscore_30,1439.1931,20
trend_aroon_osc_14,1240.0767,21
trend_ema_cross_5_12,1205.048,22
vol_mfi_14,1151.7151,23
funding_rate_zscore_90,1149.4301,24
interact_rsi_x_adx,1072.4874,25
interact_rsi_x_natr,895.1245,26
mom_willr_14,766.4318,27
trend_supertrend_14_3,696.8693,28
regime_momentum_signed_5d,675.4248,29
interact_stoch_x_adx,607.178,30
mom_rsi_14,510.1622,31
mom_roc_10,487.5699,32
mom_stoch_k_14,459.6749,33
mom_stoch_d_14,424.9066,34
cal_dow_norm,413.799,35
stat_return_5,412.5727,36
vol_range_spike_72,336.5916,37
vol_volume_rel_20,270.6162,38
vol_volume_pctchg_5,206.9515,39
vol_taker_buy_ratio,195.5485,40
interact_ret1_x_ret3,190.6576,41
vol_range_spike_24,180.2711,42
interact_ret1_x_natr,180.0008,43
stat_log_return_1,99.303,44
mr_rsi_extreme_14,6.9392,45
cal_hour_norm,5.4241,46
dot_vs_btc_ret_ratio_30,0.0,47
eth_vs_btc_ret_ratio_30,0.0,48
