path_id,sharpe,max_dd,n_candles
0,2.026941,239.1282,3836
1,-0.536625,293.1499,3836
2,-1.062984,400.8548,3836
3,0.01823,288.6094,3835
4,0.385873,239.1282,3835
5,1.126107,239.1282,3835
6,0.909021,239.1282,3835
7,-0.526319,264.8351,3835
8,0.134995,283.1585,3835
9,1.297216,331.957,3836
10,0.930739,439.6619,3836
11,1.904462,327.4165,3835
12,2.133614,202.2994,3835
13,2.805401,185.2947,3835
14,2.560497,185.2947,3835
15,1.488525,303.6422,3835
16,1.838712,283.1585,3835
17,-1.826539,430.4789,3836
18,-0.870435,318.2334,3835
19,-0.479884,193.1163,3835
20,0.117527,186.6787,3835
21,0.001754,186.6787,3835
22,-1.386366,294.4592,3835
23,-0.651606,283.1585,3835
24,-1.464359,434.8726,3835
25,-1.02292,326.1906,3835
26,-0.458677,326.1906,3835
27,-0.527699,326.1906,3835
28,-2.009087,411.0983,3835
29,-1.15446,326.1906,3835
30,0.104929,220.0477,3834
31,0.906007,220.0477,3834
32,0.677856,220.0477,3834
33,-0.930168,220.1728,3834
34,-0.141796,283.1585,3834
35,1.273324,135.5412,3834
36,1.027817,142.9485,3834
37,-0.46296,204.0965,3834
38,0.213024,283.1585,3834
39,1.915976,142.9485,3834
40,0.253765,204.0965,3834
41,0.881642,283.1585,3834
42,0.100139,278.855,3834
43,0.703315,283.1585,3834
44,-0.653354,283.1585,3834
