seed,monthly_sharpe,max_drawdown,calmar,pbo,n_trades,max_concentration_pct,n_eff
42,1.0955,22.0437,1.7477,0.016298,83,43.64,25
17,1.0955,22.0437,1.7477,0.016191,83,43.64,25
100,1.0955,22.0437,1.7477,0.016506,83,43.64,25
999,1.0955,22.0437,1.7477,0.016415,83,43.64,25
8675309,1.0955,22.0437,1.7477,0.016273,83,43.64,25
0,1.0955,22.0437,1.7477,0.01632,83,43.64,25
12345,1.0955,22.0437,1.7477,0.016563,83,43.64,25
67890,1.0955,22.0437,1.7477,0.01641,83,43.64,25
314159,1.0955,22.0437,1.7477,0.016326,83,43.64,25
271828,1.0955,22.0437,1.7477,0.016562,83,43.64,25
