symbol,train_month,n_trials,n_candles,n_paths,rank,pbo,n_eff,mean_path_sharpe,error
BCHUSDT,2022-01,50,1825,45,50,0.0176,24,0.045961,
BCHUSDT,2022-02,50,1825,45,50,0.0032,24,0.01282,
BCHUSDT,2022-03,50,1825,45,47,0.0008,23,0.000918,
BCHUSDT,2022-04,50,1825,45,48,0.0008,27,0.021951,
BCHUSDT,2022-05,50,1825,45,50,0.0002,27,0.040347,
BCHUSDT,2022-06,50,1825,45,38,0.011,20,-0.01063,
BCHUSDT,2022-07,50,1825,45,44,0.0,22,0.025077,
BCHUSDT,2022-08,50,1825,45,45,0.002,25,-0.006394,
BCHUSDT,2022-09,50,1825,45,42,0.0002,21,0.009353,
BCHUSDT,2022-10,50,1825,45,48,0.0258,23,0.046082,
BCHUSDT,2022-11,50,1825,45,49,0.013,23,0.025584,
BCHUSDT,2022-12,50,1825,45,49,0.0206,25,-0.026151,
BCHUSDT,2023-01,50,1825,45,46,0.0008,23,0.008671,
BCHUSDT,2023-02,50,1825,45,50,0.0038,28,0.06142,
BCHUSDT,2023-03,50,1825,45,50,0.0034,26,0.002824,
BCHUSDT,2023-04,50,1825,45,50,0.0044,29,-0.025759,
BCHUSDT,2023-05,50,1825,45,50,0.0222,29,-0.023886,
BCHUSDT,2023-06,50,1825,45,50,0.0784,24,0.082403,
BCHUSDT,2023-07,50,1825,45,50,0.0828,25,-0.004376,
BCHUSDT,2023-08,50,1825,45,47,0.001,24,-0.023515,
BCHUSDT,2023-09,50,1825,45,49,0.0012,26,0.036579,
BCHUSDT,2023-10,50,1825,45,50,0.0,29,0.073803,
BCHUSDT,2023-11,50,1825,45,44,0.0308,22,0.019692,
BCHUSDT,2023-12,50,1825,45,50,0.0002,26,0.047163,
BCHUSDT,2024-01,50,1825,45,46,0.001,24,-0.030902,
BCHUSDT,2024-02,50,1825,45,50,0.0134,29,0.039385,
BCHUSDT,2024-03,50,1825,45,50,0.0,26,0.001532,
BCHUSDT,2024-04,50,1825,45,50,0.0016,26,-0.002871,
BCHUSDT,2024-05,50,1825,45,48,0.004,27,-0.020052,
BCHUSDT,2024-06,50,1825,45,50,0.0088,29,0.01723,
BCHUSDT,2024-07,50,1825,45,50,0.0042,26,0.006828,
BCHUSDT,2024-08,50,1825,45,49,0.0006,27,0.022521,
BCHUSDT,2024-09,50,1825,45,50,0.0046,27,0.00971,
BCHUSDT,2024-10,50,1825,45,50,0.011,28,0.00233,
BCHUSDT,2024-11,50,1825,45,49,0.0048,27,-0.000507,
