symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time
BCHUSDT,1,300.910000,281.312449,0.4100,1643529599999,1643615999999,stop_loss,-6.5128,0.1000,-6.6128,-2.7112,281.312449,340.105102,1644134399999
TRXUSDT,-1,0.063130,0.066024,0.3800,1644652799999,1644911999999,stop_loss,-4.5843,0.1000,-4.6843,-1.7800,0.066024,0.057342,1645257599999
BCHUSDT,1,333.640000,315.543708,0.5000,1644911999999,1645142399999,stop_loss,-5.4239,0.1000,-5.5239,-2.7619,315.543708,369.832583,1645516799999
BCHUSDT,1,283.100000,266.062684,0.4000,1645487999999,1645689599999,stop_loss,-6.0181,0.1000,-6.1181,-2.4473,266.062684,317.174632,1646092799999
TRXUSDT,-1,0.061720,0.060420,0.9000,1646121599999,1646726400000,timeout,2.1063,0.1000,2.0063,1.8057,0.065126,0.054907,1646726399999
TRXUSDT,-1,0.071560,0.073932,0.0000,1648540799999,1648655999999,stop_loss,-3.3153,0.1000,-3.4153,0.0000,0.073932,0.066815,1649145599999
TRXUSDT,-1,0.073020,0.066508,0.8900,1648972799999,1649231999999,take_profit,8.9183,0.1000,8.8183,7.8483,0.076276,0.066508,1649577599999
TRXUSDT,1,0.063510,0.060507,0.7800,1649491199999,1649692799999,stop_loss,-4.7284,0.1000,-4.8284,-3.7662,0.060507,0.069516,1650095999999
TRXUSDT,1,0.060120,0.062970,0.5200,1649836799999,1650441600000,timeout,4.7405,0.1000,4.6405,2.4131,0.057448,0.065464,1650441599999
TRXUSDT,1,0.062070,0.068572,0.9300,1650873599999,1651247999999,take_profit,10.4747,0.1000,10.3747,9.6485,0.058819,0.068572,1651478399999
TRXUSDT,-1,0.072920,0.065520,1.0000,1651478399999,1651535999999,take_profit,10.1483,0.1000,10.0483,10.0483,0.076620,0.065520,1652083199999
BCHUSDT,1,233.530000,216.176230,0.8600,1652198399999,1652284799999,stop_loss,-7.4311,0.1000,-7.5311,-6.4767,216.176230,268.237540,1652803199999
TRXUSDT,-1,0.074810,0.083762,1.0000,1652255999999,1652284799999,stop_loss,-11.9660,0.1000,-12.0660,-12.0660,0.083762,0.056907,1652860799999
TRXUSDT,1,0.073870,0.072780,0.0000,1652457599999,1653062400000,timeout,-1.4756,0.1000,-1.5756,0.0000,0.063389,0.094832,1653062399999
BCHUSDT,-1,208.480000,194.500000,0.9800,1652601599999,1653206400000,timeout,6.7057,0.1000,6.6057,6.4736,237.099373,151.241253,1653206399999
TRXUSDT,-1,0.081960,0.087891,0.7400,1653407999999,1653523199999,stop_loss,-7.2368,0.1000,-7.3368,-5.4293,0.087891,0.070097,1654012799999
TRXUSDT,-1,0.080690,0.086976,0.7600,1653667199999,1654099199999,stop_loss,-7.7903,0.1000,-7.8903,-5.9966,0.086976,0.068118,1654271999999
TRXUSDT,1,0.084480,0.078997,0.6300,1654243199999,1654329599999,stop_loss,-6.4905,0.1000,-6.5905,-4.1520,0.078997,0.095446,1654847999999
BCHUSDT,-1,127.870000,112.650000,0.5900,1655337599999,1655942400000,timeout,11.9027,0.1000,11.8027,6.9636,142.181721,99.246558,1655942399999
BCHUSDT,1,140.210000,129.576196,0.6600,1659340799999,1659427199999,stop_loss,-7.5842,0.1000,-7.6842,-5.0716,129.576196,161.477609,1659945599999
MKRUSDT,-1,1106.600000,1150.300000,0.5900,1659340799999,1659945600000,timeout,-3.9490,0.1000,-4.0490,-2.3889,1186.868951,946.062099,1659945599999
BCHUSDT,1,136.430000,143.830000,0.5200,1659628799999,1660233600000,timeout,5.4240,0.1000,5.3240,2.7685,126.442681,156.404638,1660233599999
BCHUSDT,1,116.710000,131.896307,0.4100,1661011199999,1661270399999,take_profit,13.0120,0.1000,12.9120,5.2939,109.116846,131.896307,1661615999999
BCHUSDT,-1,131.860000,116.749953,0.4200,1661414399999,1661558399999,take_profit,11.4592,0.1000,11.3592,4.7708,139.415023,116.749953,1662019199999
BCHUSDT,-1,112.530000,119.839427,0.3600,1661731199999,1661817599999,stop_loss,-6.4955,0.1000,-6.5955,-2.3744,119.839427,97.911146,1662335999999
BCHUSDT,-1,128.960000,136.014299,0.5200,1662710399999,1662739199999,stop_loss,-5.4701,0.1000,-5.5701,-2.8965,136.014299,114.851402,1663315199999
BCHUSDT,-1,130.130000,115.897810,0.4900,1662883199999,1663113599999,take_profit,10.9369,0.1000,10.8369,5.3101,137.246095,115.897810,1663487999999
BCHUSDT,-1,118.300000,115.080000,0.6000,1663257599999,1663862400000,timeout,2.7219,0.1000,2.6219,1.5731,125.692184,103.515631,1663862399999
MKRUSDT,-1,748.100000,789.962911,0.3500,1664265599999,1664783999999,stop_loss,-5.5959,0.1000,-5.6959,-1.9936,789.962911,664.374178,1664870399999
MKRUSDT,-1,861.000000,907.530800,0.5300,1664985599999,1665359999999,stop_loss,-5.4043,0.1000,-5.5043,-2.9173,907.530800,767.938400,1665590399999
MKRUSDT,-1,982.100000,1052.070420,1.0000,1665503999999,1666022399999,stop_loss,-7.1246,0.1000,-7.2246,-7.2246,1052.070420,842.159159,1666108799999
MKRUSDT,-1,1140.900000,1009.162595,0.9000,1666166399999,1666367999999,take_profit,11.5468,0.1000,11.4468,10.3021,1206.768702,1009.162595,1666771199999
MKRUSDT,-1,977.100000,908.700000,0.7600,1666569599999,1667174400000,timeout,7.0003,0.1000,6.9003,5.2442,1037.483294,856.333413,1667174399999
BCHUSDT,-1,116.940000,121.157044,0.3700,1667404799999,1667548799999,stop_loss,-3.6062,0.1000,-3.7062,-1.3713,121.157044,108.505912,1668009599999
MKRUSDT,-1,837.600000,883.867950,0.4300,1667433599999,1667577599999,stop_loss,-5.5239,0.1000,-5.6239,-2.4183,883.867950,745.064101,1668038399999
BCHUSDT,-1,123.680000,113.594210,0.5200,1667692799999,1667894399999,take_profit,8.1547,0.1000,8.0547,4.1885,128.722895,113.594210,1668297599999
MKRUSDT,-1,844.800000,752.481390,0.5200,1667779199999,1667951999999,take_profit,10.9279,0.1000,10.8279,5.6305,890.959305,752.481390,1668383999999
BCHUSDT,1,97.080000,103.220000,1.0000,1668067199999,1668672000000,timeout,6.3247,0.1000,6.2247,6.2247,89.050637,113.138726,1668671999999
MKRUSDT,-1,706.600000,664.400000,0.9900,1668239999999,1668844800000,timeout,5.9723,0.1000,5.8723,5.8135,788.303560,543.192879,1668844799999
BCHUSDT,1,104.620000,116.531324,0.0000,1668815999999,1669190399999,take_profit,11.3853,0.1000,11.2853,0.0000,98.664338,116.531324,1669420799999
TRXUSDT,1,0.050820,0.051550,0.9100,1668585599999,1669190400000,timeout,1.4364,0.1000,1.3364,1.2162,0.047026,0.058408,1669190399999
BCHUSDT,-1,115.840000,110.310000,0.6300,1669334399999,1669939200000,timeout,4.7738,0.1000,4.6738,2.9445,121.583645,104.352711,1669939199999
MKRUSDT,-1,568.700000,587.804128,0.3700,1673193599999,1673222399999,stop_loss,-3.3593,0.1000,-3.4593,-1.2799,587.804128,530.491743,1673798399999
BCHUSDT,-1,109.700000,112.653640,0.3400,1673510399999,1673539199999,stop_loss,-2.6925,0.1000,-2.7925,-0.9494,112.653640,103.792721,1674115199999
MKRUSDT,-1,628.100000,654.782862,0.6300,1673366399999,1673567999999,stop_loss,-4.2482,0.1000,-4.3482,-2.7394,654.782862,574.734276,1673971199999
MKRUSDT,-1,708.300000,635.731976,0.0000,1673711999999,1674086399999,take_profit,10.2454,0.1000,10.1454,0.0000,744.584012,635.731976,1674316799999
BCHUSDT,-1,125.290000,128.370000,0.0000,1673711999999,1674316800000,timeout,-2.4583,0.1000,-2.5583,0.0000,130.948726,113.972549,1674316799999
TRXUSDT,-1,0.062350,0.062190,0.0000,1673798399999,1674403200000,timeout,0.2566,0.1000,0.1566,0.0000,0.064715,0.057620,1674403199999
BCHUSDT,-1,131.440000,137.405673,0.0000,1674460799999,1674489599999,stop_loss,-4.5387,0.1000,-4.6387,0.0000,137.405673,119.508655,1675065599999
MKRUSDT,1,669.700000,630.309190,0.8200,1674230399999,1674806399999,stop_loss,-5.8819,0.1000,-5.9819,-4.9051,630.309190,748.481621,1674835199999
BCHUSDT,-1,129.570000,135.917944,0.0000,1674633599999,1674863999999,stop_loss,-4.8992,0.1000,-4.9992,0.0000,135.917944,116.874113,1675238399999
TRXUSDT,-1,0.063010,0.063020,0.0000,1674547199999,1675152000000,timeout,-0.0159,0.1000,-0.1159,0.0000,0.065060,0.058911,1675151999999
MKRUSDT,-1,656.200000,693.949866,0.7600,1674950399999,1675353599999,stop_loss,-5.7528,0.1000,-5.8528,-4.4481,693.949866,580.700268,1675555199999
BCHUSDT,-1,137.120000,142.914856,0.7700,1675007999999,1675353599999,stop_loss,-4.2261,0.1000,-4.3261,-3.3311,142.914856,125.530289,1675612799999
TRXUSDT,1,0.063840,0.068032,0.8200,1675382399999,1675871999999,take_profit,6.5666,0.1000,6.4666,5.3026,0.061744,0.068032,1675987199999
BCHUSDT,1,128.170000,122.383763,0.7500,1676044799999,1676246399999,stop_loss,-4.5145,0.1000,-4.6145,-3.4609,122.383763,139.742473,1676649599999
TRXUSDT,-1,0.063100,0.065604,0.9700,1676044799999,1676332799999,stop_loss,-3.9678,0.1000,-4.0678,-3.9457,0.065604,0.058093,1676649599999
BCHUSDT,1,124.850000,135.327923,0.5300,1676390399999,1676534399999,take_profit,8.3924,0.1000,8.2924,4.3950,119.611038,135.327923,1676995199999
TRXUSDT,-1,0.069290,0.071580,0.8800,1676476799999,1676678399999,stop_loss,-3.3055,0.1000,-3.4055,-2.9968,0.071580,0.064709,1677081599999
BCHUSDT,-1,133.350000,138.921665,0.6600,1676678399999,1676822399999,stop_loss,-4.1782,0.1000,-4.2782,-2.8236,138.921665,122.206671,1677283199999
BCHUSDT,1,152.380000,145.475633,1.0000,1676966399999,1676995199999,stop_loss,-4.5310,0.1000,-4.6310,-4.6310,145.475633,166.188733,1677571199999
BCHUSDT,1,142.770000,135.729181,0.9700,1677139199999,1677254399999,stop_loss,-4.9316,0.1000,-5.0316,-4.8806,135.729181,156.851638,1677743999999
TRXUSDT,-1,0.071410,0.066730,0.8500,1676822399999,1677369599999,take_profit,6.5540,0.1000,6.4540,5.4859,0.073750,0.066730,1677427199999
MKRUSDT,1,934.600000,881.687771,1.0000,1677686399999,1677772799999,stop_loss,-5.6615,0.1000,-5.7615,-5.7615,881.687771,1040.424457,1678291199999
BCHUSDT,1,133.670000,127.223518,0.7900,1677398399999,1677830399999,stop_loss,-4.8227,0.1000,-4.9227,-3.8889,127.223518,146.562965,1678003199999
MKRUSDT,1,906.300000,847.402174,0.9900,1677916799999,1677974399999,stop_loss,-6.4987,0.1000,-6.5987,-6.5327,847.402174,1024.095652,1678521599999
MKRUSDT,1,946.900000,885.223438,0.9800,1678118399999,1678204799999,stop_loss,-6.5135,0.1000,-6.6135,-6.4813,885.223438,1070.253123,1678723199999
MKRUSDT,1,783.500000,717.176798,0.9900,1678463999999,1678521599999,stop_loss,-8.4650,0.1000,-8.5650,-8.4793,717.176798,916.146403,1679068799999
BCHUSDT,1,109.590000,120.698814,0.5200,1678463999999,1678665599999,take_profit,10.1367,0.1000,10.0367,5.2191,104.035593,120.698814,1679068799999
BCHUSDT,1,130.940000,124.380713,0.9300,1678838399999,1678924799999,stop_loss,-5.0094,0.1000,-5.1094,-4.7517,124.380713,144.058574,1679443199999
BCHUSDT,1,130.080000,123.594971,0.8700,1679068799999,1679529599999,stop_loss,-4.9854,0.1000,-5.0854,-4.4243,123.594971,143.050057,1679673599999
BCHUSDT,1,124.820000,117.748119,0.9600,1679673599999,1679932799999,stop_loss,-5.6657,0.1000,-5.7657,-5.5350,117.748119,138.963762,1680278399999
BCHUSDT,1,119.740000,115.108183,0.3500,1682121599999,1682553599999,stop_loss,-3.8682,0.1000,-3.9682,-1.3889,115.108183,129.003633,1682726399999
BCHUSDT,1,117.040000,119.500000,0.3800,1682697599999,1683302400000,timeout,2.1018,0.1000,2.0018,0.7607,112.429335,126.261331,1683302399999
BCHUSDT,-1,111.120000,115.226984,0.3300,1683590399999,1683619199999,stop_loss,-3.6960,0.1000,-3.7960,-1.2527,115.226984,102.906032,1684195199999
BCHUSDT,-1,119.810000,114.350000,0.5000,1684137599999,1684742400000,timeout,4.5572,0.1000,4.4572,2.2286,124.507183,110.415634,1684742399999
TRXUSDT,-1,0.075420,0.076961,0.6100,1684684799999,1684771199999,stop_loss,-2.0433,0.1000,-2.1433,-1.3074,0.076961,0.072338,1685289599999
TRXUSDT,-1,0.077010,0.076230,0.7300,1685087999999,1685692800000,timeout,1.0129,0.1000,0.9129,0.6664,0.078808,0.073415,1685692799999
MKRUSDT,1,648.100000,626.837685,0.3400,1686009599999,1686153599999,stop_loss,-3.2807,0.1000,-3.3807,-1.1494,626.837685,690.624629,1686614399999
TRXUSDT,1,0.078540,0.076010,1.0000,1685980799999,1686355199999,stop_loss,-3.2207,0.1000,-3.3207,-3.3207,0.076010,0.083599,1686585599999
