symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time
BCHUSDT,-1,358.040000,369.129957,0.3300,1745452799999,1745596799999,stop_loss,-3.0974,0.1000,-3.1974,-1.0551,369.129957,335.860086,1746057599999
BCHUSDT,1,421.490000,406.950537,0.7900,1746748799999,1746806399999,stop_loss,-3.4495,0.1000,-3.5495,-2.8041,406.950537,450.568926,1747353599999
BCHUSDT,-1,409.330000,398.520000,0.8600,1746950399999,1747555200000,timeout,2.6409,0.1000,2.5409,2.1852,424.675525,378.638950,1747555199999
LDOUSDT,-1,0.987600,0.877261,0.8800,1747411199999,1747612799999,take_profit,11.1724,0.1000,11.0724,9.7437,1.042769,0.877261,1748015999999
BCHUSDT,-1,427.080000,397.589769,0.8400,1748102399999,1748591999999,take_profit,6.9051,0.1000,6.8051,5.7163,441.825116,397.589769,1748707199999
TRXUSDT,-1,0.292640,0.283269,0.5800,1749599999999,1749686399999,take_profit,3.2021,0.1000,3.1021,1.7992,0.297325,0.283269,1750204799999
BCHUSDT,-1,428.440000,440.152683,0.3400,1749686399999,1749772799999,stop_loss,-2.7338,0.1000,-2.8338,-0.9635,440.152683,405.014633,1750291199999
BCHUSDT,-1,470.450000,486.087743,1.0000,1750233599999,1750348799999,stop_loss,-3.3240,0.1000,-3.4240,-3.4240,486.087743,439.174513,1750838399999
BCHUSDT,-1,498.040000,515.256638,0.9700,1751011199999,1751299199999,stop_loss,-3.4569,0.1000,-3.5569,-3.4502,515.256638,463.606724,1751615999999
BCHUSDT,-1,504.960000,472.356229,0.8600,1751443199999,1751644799999,take_profit,6.4567,0.1000,6.3567,5.4668,521.261886,472.356229,1752047999999
TRXUSDT,-1,0.311550,0.315419,0.3300,1752739199999,1752767999999,stop_loss,-1.2420,0.1000,-1.3420,-0.4429,0.315419,0.303811,1753343999999
TRXUSDT,1,0.313970,0.308725,0.8500,1753055999999,1753171199999,stop_loss,-1.6704,0.1000,-1.7704,-1.5049,0.308725,0.324459,1753660799999
TRXUSDT,1,0.309450,0.303749,0.9600,1753315199999,1753343999999,stop_loss,-1.8424,0.1000,-1.9424,-1.8647,0.303749,0.320853,1753919999999
BCHUSDT,1,558.840000,539.825663,0.9500,1754035199999,1754092799999,stop_loss,-3.4025,0.1000,-3.5025,-3.3273,539.825663,596.868675,1754639999999
