symbol,train_month,n_trials,n_candles,n_paths,rank,pbo,n_eff,mean_path_sharpe,error
BCHUSDT,2022-01,10,1825,45,10,0.0,7,-0.019186,
BCHUSDT,2022-02,10,1825,45,10,0.0,7,-0.013494,
BCHUSDT,2022-03,10,1825,45,10,0.0,7,-0.026191,
BCHUSDT,2022-04,10,1825,45,10,0.0462,7,-0.012456,
BCHUSDT,2022-05,10,1825,45,10,0.0,7,-0.043073,
BCHUSDT,2022-06,10,1825,45,10,0.0626,7,-0.043269,
BCHUSDT,2022-07,10,1825,45,10,0.0,7,-0.056941,
BCHUSDT,2022-08,10,1825,45,10,0.5274,7,-0.06706,
BCHUSDT,2022-09,10,1825,45,10,0.0,8,-0.086124,
BCHUSDT,2022-10,10,1825,45,10,0.0,7,-0.047108,
BCHUSDT,2022-11,10,1825,45,10,0.0,7,-0.086691,
BCHUSDT,2022-12,10,1825,45,10,0.0,7,-0.106331,
BCHUSDT,2023-01,10,1825,45,10,0.0,7,-0.098829,
BCHUSDT,2023-02,10,1825,45,10,0.0,7,-0.024731,
BCHUSDT,2023-03,10,1825,45,10,0.0,7,-0.088255,
BCHUSDT,2023-04,10,1825,45,10,0.0,7,-0.084633,
BCHUSDT,2023-05,10,1825,45,10,0.0,8,-0.057239,
BCHUSDT,2023-06,10,1825,45,10,0.0,8,0.022316,
BCHUSDT,2023-07,10,1825,45,10,0.0,7,-0.098311,
BCHUSDT,2023-08,10,1825,45,10,0.8328,7,-0.082195,
BCHUSDT,2023-09,10,1825,45,10,0.0,7,-0.046169,
BCHUSDT,2023-10,10,1825,45,10,0.0,8,0.016663,
BCHUSDT,2023-11,10,1825,45,10,0.0,7,-0.03056,
BCHUSDT,2023-12,10,1825,45,10,0.0,8,-0.042478,
BCHUSDT,2024-01,10,1825,45,10,0.0058,8,-0.072174,
BCHUSDT,2024-02,10,1825,45,10,0.0,8,0.006672,
BCHUSDT,2024-03,10,1825,45,10,0.0016,7,-0.024335,
BCHUSDT,2024-04,10,1825,45,10,0.0,7,-0.031709,
BCHUSDT,2024-05,10,1825,45,10,0.0,8,-0.023615,
BCHUSDT,2024-06,10,1825,45,10,0.0,8,-0.011045,
BCHUSDT,2024-07,10,1825,45,10,0.0046,8,0.002358,
BCHUSDT,2024-08,10,1825,45,10,0.0,8,0.020235,
BCHUSDT,2024-09,10,1825,45,10,0.006,8,0.010421,
BCHUSDT,2024-10,10,1825,45,10,0.9868,8,0.01368,
BCHUSDT,2024-11,10,1825,45,10,0.0,8,0.007107,
BCHUSDT,2024-12,10,1825,45,10,0.0,8,-0.045596,
BCHUSDT,2025-01,10,1825,45,10,0.0,8,0.002763,
BCHUSDT,2025-02,10,1825,45,10,0.0,8,-0.016476,
BCHUSDT,2025-03,10,1825,45,10,0.0038,8,-0.036972,
BCHUSDT,2025-04,10,1801,45,10,0.0,8,-0.096604,
BCHUSDT,2025-05,10,1711,45,10,0.1996,8,-0.050949,
BCHUSDT,2025-06,10,1618,45,10,0.0,8,-0.062711,
BCHUSDT,2025-07,10,1528,45,10,0.1262,8,-0.047383,
BCHUSDT,2025-08,10,1435,45,10,0.2464,8,-0.106167,
BCHUSDT,2025-09,10,1342,45,10,0.4532,7,-0.035412,
BCHUSDT,2025-10,10,1252,45,10,0.0048,7,-0.051508,
BCHUSDT,2025-11,10,1159,45,10,0.0,8,-0.045166,
BCHUSDT,2025-12,10,1069,45,10,0.2892,7,-0.101405,
BCHUSDT,2026-01,10,976,45,10,0.0,7,-0.074337,
BCHUSDT,2026-02,10,883,45,10,0.1898,7,-0.113255,
