family,name,n,ic,t,ic_h1,t_h1,ic_h2,t_h2,abs_t,consistent
CONTROL,total_mom_1b,4333,-0.03340579598821133,-7.5884881328169795,-0.04488990052780955,-7.213190600485721,-0.02192699098924052,-3.52548893705656,7.5884881328169795,True
CONTROL-harvest,total_mom_1b@Asia(00-08),1444,-0.07060099107773696,-9.356900478790442,-0.08630435026411115,-8.045466438645313,-0.05489763189136275,-5.184278283237236,9.356900478790442,True
CONTROL-harvest,total_mom_1b@Euro(08-16),1445,-0.024514600315000967,-3.170613374481689,-0.043104351545815316,-4.104695384954583,-0.005950561049927721,-0.5258935347075849,3.170613374481689,True
CONTROL-harvest,total_mom_1b@US(16-24),1444,-0.00510795390961988,-0.6813126942714587,-0.005260999773502152,-0.48231401525957107,-0.0049549080457376125,-0.4812438083325752,0.6813126942714587,True
CONTROL,total_mom_3b,4331,-0.031321801730258544,-7.030580717916991,-0.03825232512219336,-5.938084359959774,-0.024400872971538215,-3.9650085240050443,7.030580717916991,True
CONTROL-harvest,total_mom_3b@Asia(00-08),1444,-0.04827322407873509,-6.351294647181106,-0.05276872129182961,-4.765193299073996,-0.043777726865640555,-4.201868946676063,6.351294647181106,True
CONTROL-harvest,total_mom_3b@Euro(08-16),1444,-0.0277158910487384,-3.5618446452601225,-0.04125319165833072,-3.661962007910008,-0.014216038020362106,-1.3257532800469898,3.5618446452601225,True
CONTROL-harvest,total_mom_3b@US(16-24),1443,-0.017967041614468496,-2.3182987801703168,-0.020714928718542327,-1.8635619519184115,-0.015222960448211942,-1.4082622421097308,2.3182987801703168,True
CONTROL,total_mom_6b,4328,-0.03146816806045652,-7.02561071202041,-0.03491293981703062,-5.4490030503830535,-0.02803293420445438,-4.476925145590647,7.02561071202041,True
CONTROL-harvest,total_mom_6b@Asia(00-08),1443,-0.0589976861231922,-7.649182871360575,-0.0610699104530771,-5.526031776079174,-0.05692833191010768,-5.285939583202242,7.649182871360575,True
