config,sharpe_1x,sharpe_2x,sharpe_3x,ret_1x,ret_2x,vol_1x,dd_1x,dd_2x,calmar_2x,turnover,gross_edge,cost_share,trades,long_gross,short_gross,top5,tag,aw,vw,phase,power,cadence,F1,F2,F3,F4,worst,median_fold,npos
a252|v252|ph4|p1.0,0.9145152161093684,0.823316890870671,0.731879904545041,0.10565199359093613,0.09384447069125268,0.11736648973222016,0.10149895421678623,0.10298056304443548,0.9112833326688976,14.330744385864802,82.30799059040169,0.007961446588505354,7095,0.5167510064396892,-0.04978449999469425,0.02676150233710935,nominee,252,252,4,1.0,21,0.28542809589635737,1.6573832797538586,1.1240459531352456,0.4671464900791424,0.28542809589635737,0.795596221607194,4
a189|v252|ph4|p1.0,0.8452339207664669,0.7437862531946625,0.642100108276006,0.09623871166851616,0.08330342357794396,0.11679555074250564,0.1108113299804363,0.11543653644635676,0.7216382797196533,15.846933809212642,69.63033996131306,0.008821989183342434,6793,0.5011430830972999,-0.06430676080868142,0.026871745122332116,point,189,252,4,1.0,21,-0.0023473089990275822,1.9426872213992554,1.2482399193151579,0.08720402282190347,-0.0023473089990275822,0.6677219710685307,3
a315|v252|ph4|p1.0,0.7796587667669205,0.690650206558156,0.6014516747808007,0.08819630191214878,0.07687956940639329,0.11723747577939621,0.10650816130953777,0.10931556676790155,0.7032810758747996,13.949836829605019,72.84413291873486,0.007696249123414179,7274,0.4856460273536056,-0.0833565355552377,0.02547983509094878,point,315,252,4,1.0,21,0.2919438832866612,0.5410174895893671,1.600522655757003,0.5971269757866349,0.2919438832866612,0.569072232688001,4
a252|v189|ph4|p1.0,0.9077565507182581,0.8136150327722637,0.719230575303622,0.10488767753185702,0.09270114471029545,0.11749447836733098,0.10048695781819628,0.10140533520136885,0.9141643733656737,14.803959284412187,79.44087658845869,0.00822109164816058,6976,0.537946655625166,-0.0723638936632513,0.02758541508765968,point,252,189,4,1.0,21,0.34366722459959087,1.5085242543185358,1.0609138017857496,0.5507507384950463,0.34366722459959087,0.8058322701403979,4
a252|v315|ph4|p1.0,0.8206996802713917,0.7292141747939105,0.637532524547954,0.09342209512358113,0.0817419515013651,0.11720699633807502,0.0991337997459204,0.10104654151599357,0.8089534809900153,14.337920612921456,74.52613490226064,0.008003536166190033,7335,0.48876458754444885,-0.06573596578970231,0.028174579941857767,point,252,315,4,1.0,21,0.23009847052176638,1.7487641019707518,1.0629103451296988,0.1541444881449557,0.1541444881449557,0.6465044078257326,4
a252|v252|ph2|p1.0,0.971402405725265,0.8800424980035974,0.7885256003077309,0.11475711455309612,0.10270317318419697,0.11916279037748224,0.09797657360179957,0.09914299187827835,1.0359095609126825,14.512480017643966,87.13703266314815,0.008074880993543065,7016,0.5664282992878471,-0.06579540244169649,0.03195419364420739,point,252,252,2,1.0,21,-0.13214673331542137,1.820995485551956,1.298316856745836,0.9374846390976688,-0.13214673331542137,1.1179007479217524,3
a252|v252|ph7|p1.0,0.833793037345754,0.7450135031923673,0.656108458784565,0.0963962320463212,0.08489777533929432,0.1188568950386122,0.09251704230784896,0.09406358814661586,0.902557270162447,14.072311316250357,77.68577184091608,0.00781738795253592,7315,0.5963470726702437,-0.16355240441203056,0.027030296584979442,point,252,252,7,1.0,21,0.49887422944612964,1.5916289276572009,0.6973748797251674,0.3140248875623556,0.3140248875623556,0.5981245545856485,4
a252|v252|ph4|p0.7,0.8596536913459955,0.7696905624375606,0.6795108529383723,0.09796453309972097,0.08647475990369036,0.11663746680057077,0.09783889383794864,0.09856583475768543,0.8773299603892178,14.031913417342208,78.8320453291877,0.007850064200215726,7477,0.5175460451137239,-0.07962615252322444,0.027031471986588344,point,252,252,4,0.7,21,0.39228606820035333,1.6641082034930508,0.8206755001907194,0.35497240457047524,0.35497240457047524,0.6064807841955364,4
a252|v252|ph4|p1.4,0.9129596835890456,0.8204404401648826,0.7276634004303997,0.10607653451641674,0.09401672221885593,0.11808050127734544,0.10657659687155696,0.10807268144465376,0.8699397568570909,14.63454907976567,81.12361144806817,0.00808909086023582,6477,0.508219319975059,-0.03821526549085674,0.026695934775892563,point,252,252,4,1.4,21,0.09021927198817524,1.6005425459449512,1.3608779167450968,0.5517515481501968,0.09021927198817524,0.9563147324476469,4
a189|v189|ph2|p0.7,0.9748198070634134,0.8756136083233935,0.776249501892487,0.11296693715569583,0.10016734889988643,0.11681890448704306,0.12184107123042454,0.12624131472442057,0.7934593292104689,15.435131115301862,81.1701541188464,0.00864105564561198,7192,0.5624520392713142,-0.06645203960571747,0.031058417360627016,point,189,189,2,0.7,21,-0.15172778642631873,1.772768151257025,1.6408143384310354,0.6840734646687012,-0.15172778642631873,1.1624439015498682,3
a315|v315|ph7|p1.4,0.4146089629142942,0.33119615536358726,0.24774467394170094,0.04341300491410727,0.033040626697003805,0.11984363125686343,0.14193336875725715,0.14370048822797388,0.22992703159495498,13.300680864228898,44.588327540192275,0.007447577702160736,7498,0.4253688239235993,-0.190583990771761,0.028998597988524125,point,315,315,7,1.4,21,0.022414866062624054,0.4283353583337775,0.3889231528416183,0.5401955968314047,0.022414866062624054,0.4086292555876979,4
