config,sharpe_1x,sharpe_2x,sharpe_3x,ret_1x,ret_2x,vol_1x,dd_1x,dd_2x,calmar_2x,turnover,gross_edge,cost_share,trades,long_gross,short_gross,top5,quantity,W,variant,power,cadence,phase,weekday,slot,F1,F2,F3,F4,worst,median_fold,npos
trades|W252|raw|p1.0|c21|ph0,0.4075293093562351,0.3370741070260822,0.3370741070260822,0.04134050993169147,0.03286616802416975,0.11605768952997592,0.15590722091949905,0.15685334638567594,0.20953437578154938,10.89837416454621,50.854824978292186,0.006623422000885992,4773,0.5170541530724566,-0.2976378665132289,0.04100417990593523,trades,252,raw,1.0,21,0,0,0,-0.8633888406616766,1.206161744289608,1.5567262469287013,0.08859176729212474,-0.8633888406616766,0.6473767557908664,3
trades|W252|raw|p1.0|c21|ph1,0.37931579907585145,0.30429433404057626,0.30429433404057626,0.037729966789164404,0.028799391284205722,0.11528255257833157,0.15917980782686292,0.1601788484315111,0.17979521994453407,11.526878199050673,45.52961076093599,0.00700266457612855,4765,0.5127730901388163,-0.30500415006642956,0.03926891125713963,trades,252,raw,1.0,21,1,0,1,-0.9050250449947068,1.0708792336332902,1.3173005706181569,0.27448155859260903,-0.9050250449947068,0.6726803961129496,3
trades|W252|raw|p1.0|c21|ph2,0.5101160923435355,0.4388800205025977,0.4388800205025977,0.053353442507883875,0.044775058605523776,0.11494556072757099,0.1546626419194932,0.15560167193679963,0.2877543541030199,10.908739727162022,61.35207562015254,0.006619374912828579,4710,0.5492862676848502,-0.2843271781956084,0.04081166409828145,trades,252,raw,1.0,21,2,0,2,-0.8604764632029782,1.4214742173918569,1.274171767110427,0.44848350332608905,-0.8604764632029782,0.861327635218258,3
trades|W252|raw|p1.0|c21|ph3,0.7050012447657372,0.6343207203643422,0.6343207203643422,0.0765758088336923,0.06796948479404685,0.11391740027996167,0.13738366002322955,0.13815526882845686,0.4919789550584746,10.70230821471565,82.73902550163331,0.0064227074415484685,4611,0.5790231813354267,-0.22846279556040122,0.037220158411661285,trades,252,raw,1.0,21,3,1,0,-0.3969898385955382,1.7033190637417905,1.1516960924330353,0.43375182105819554,-0.3969898385955382,0.7927239567456155,3
trades|W252|raw|p1.0|c21|ph4,0.5859577255575952,0.5124258527178893,0.5124258527178893,0.06193724222395236,0.053133223255621864,0.1136505774103957,0.1519535642844132,0.15285424975181428,0.3476071050814288,11.105007644825253,67.64053722127213,0.006696217966501898,4870,0.5049903702589782,-0.20761780947770578,0.038053891765808125,trades,252,raw,1.0,21,4,1,1,-0.5554678263990641,1.5769632833976348,1.1879098985019398,0.23676404890823413,-0.5554678263990641,0.712336973705087,3
trades|W252|raw|p1.0|c21|ph5,0.6465196224786502,0.5745932930377787,0.5745932930377787,0.06862302491961803,0.0600511555154124,0.11249209144912327,0.13338200616784113,0.13448773367717093,0.44651771483904473,10.742374670446736,75.46728133357297,0.0064833977687389285,4720,0.5653868464988343,-0.24443935676228923,0.035639525124785104,trades,252,raw,1.0,21,5,1,2,-0.04899641394309928,1.7119552538672447,0.8086208467833431,0.028666611850973453,-0.04899641394309928,0.41864372931715826,3
trades|W252|raw|p1.0|c21|ph6,0.5295305566065458,0.46164630941951446,0.46164630941951446,0.05672546356821884,0.04836647689355855,0.11722719286249549,0.15347772989508612,0.15463280845172933,0.3127827618073482,10.597547545884092,65.9614053613872,0.0064584722442617894,4460,0.5429350772825062,-0.2661961479282959,0.041984077991129264,trades,252,raw,1.0,21,6,2,0,-0.5782581417431931,1.538199439329422,0.6233593018275616,0.5498832933524167,-0.5782581417431931,0.5866212975899892,3
trades|W252|raw|p1.0|c21|ph7,0.6763806589268175,0.6079384818505537,0.6079384818505537,0.07459197682981511,0.066088117565823,0.11643442615550485,0.1517040561863645,0.15287827053831837,0.432292420192301,10.60105307520135,81.6431029761964,0.006395723173900104,4581,0.5600381630612077,-0.21739387701214816,0.039735539715038314,trades,252,raw,1.0,21,7,2,1,-0.2565588822844213,1.5441302992207113,0.7988311141261326,0.6136174398891721,-0.2565588822844213,0.7062242770076523,3
trades|W252|raw|p1.0|c21|ph8,0.6469977760930989,0.5805018274357414,0.5805018274357414,0.07126835653134034,0.06298512746638485,0.1170360859568247,0.15497376776828276,0.15655377224125966,0.4023226432980524,10.360511531635025,80.35986955248109,0.00625288718086348,4555,0.5684829659445204,-0.23887674177085036,0.04088505314893982,trades,252,raw,1.0,21,8,2,2,-0.4434257605006303,1.5339543545504208,0.8907262507358761,0.6807865413300073,-0.4434257605006303,0.7857563960329417,3
trades|W252|raw|p1.0|c21|ph9,0.6807123594608928,0.6137075341150542,0.6137075341150542,0.07576186678423102,0.06735981209610897,0.11746026620775693,0.15644694600728704,0.15760561394546557,0.42739475079496025,10.461810753265752,83.57125077638962,0.0063519416307896885,4495,0.5983005742513949,-0.25217097110003717,0.042502796878093614,trades,252,raw,1.0,21,9,3,0,-0.4585330612073467,1.3827676067253185,0.8199265674544135,1.008978630376317,-0.4585330612073467,0.9144525989153653,3
trades|W252|raw|p1.0|c21|ph10,0.5683820133023626,0.5022544534977534,0.5022544534977534,0.06141835531011974,0.05327111773112314,0.1169494651401625,0.15318635491034982,0.1544123443822335,0.34499261017147315,10.276218573674265,71.94248844454545,0.006275611685683131,4428,0.5616147776893313,-0.26893428905760103,0.039921527980072834,trades,252,raw,1.0,21,10,3,1,-0.2897458878715035,1.1776418853125559,0.6420016217802479,0.7487555383570861,-0.2897458878715035,0.6953785800686669,3
trades|W252|raw|p1.0|c21|ph11,0.5096490150539258,0.44285706346913917,0.44285706346913917,0.05502756330668568,0.046699558613281456,0.1190749467813617,0.15883933393551353,0.16003262276966257,0.29181274295864573,10.568065760005286,64.45895403419989,0.006487024813553196,4578,0.5743639428249471,-0.3046808354266263,0.04099564700756777,trades,252,raw,1.0,21,11,3,2,-0.6061189790714256,1.1952890154071132,0.7853081236202045,0.7615316542882868,-0.6061189790714256,0.7734198889542456,3
trades|W252|raw|p1.0|c21|ph12,0.45151380438414385,0.38256154071639037,0.38256154071639037,0.048091271827058524,0.03947622935835349,0.12006003078259561,0.15236332935396357,0.1535483725162755,0.25709311477182323,11.000733930113684,56.23908595226745,0.006746715618658926,4522,0.5758137735747049,-0.330887769631231,0.04160652766813521,trades,252,raw,1.0,21,12,4,0,-0.7001457352871662,0.9836665917684352,0.7519946575029803,0.8230537216919389,-0.7001457352871662,0.7875241895974596,3
trades|W252|raw|p1.0|c21|ph13,0.5094950455814647,0.44144968951697505,0.44144968951697505,0.054737853215084176,0.046311871978752306,0.11842521808457913,0.1546762588198919,0.15851761654967478,0.2921559949410388,10.691951763953876,63.511161050457595,0.006533286963147183,4696,0.5758894222744306,-0.3070567645311518,0.04143443344096286,trades,252,raw,1.0,21,13,4,1,-0.8847303715719963,1.2241071631694713,1.0792537278947063,0.8255713673991312,-0.8847303715719963,0.9524125476469187,3
trades|W252|raw|p1.0|c21|ph14,0.5429146495175331,0.47176242246761413,0.47176242246761413,0.05945434571852948,0.050517911082197386,0.11961689609227308,0.14365451202661284,0.14648891082926674,0.34485826125826113,11.29149075260663,64.44167744467339,0.0069265255173302604,5095,0.5450665754792569,-0.25699984557479416,0.0404856822447054,trades,252,raw,1.0,21,14,4,2,-0.7658730758455348,0.9910291256988941,1.122737023551636,0.9617888169518769,-0.7658730758455348,0.9764089713253855,3
trades|W252|raw|p1.0|c21|ph15,0.5123553718963241,0.4369457520690155,0.4369457520690155,0.05541949829246362,0.046026533969448113,0.11921884644795115,0.16268820885166047,0.16610135975049078,0.27709907997494354,11.905546272716602,58.29515647786425,0.007338881980203569,5035,0.5459513328024775,-0.2711892610701581,0.0400593075646503,trades,252,raw,1.0,21,15,5,0,-0.840217976356238,0.6738012359754458,0.9637123830717286,1.275933134873855,-0.840217976356238,0.8187568095235872,3
trades|W252|raw|p1.0|c21|ph16,0.5470705187779654,0.47447468618619826,0.47447468618619826,0.05858898418985081,0.04972050902816427,0.11655006873367248,0.14461436869593447,0.14802871650254423,0.335884213569532,11.211712601692025,63.950889005642374,0.0068804706580518436,4502,0.6112649042680258,-0.32741188019063283,0.03746507764541092,trades,252,raw,1.0,21,16,5,1,-0.703446761361878,0.8689842832081816,1.2112007342236446,0.9461236269606724,-0.703446761361878,0.9075539550844269,3
trades|W252|raw|p1.0|c21|ph17,0.5001119591538847,0.4318672361976276,0.4318672361976276,0.05315964492343683,0.04480505342751773,0.11742479033136798,0.1749737655199778,0.17822066652823954,0.2514021201936098,10.620108160548364,62.319077511478845,0.006538731639420387,4457,0.6147149103659855,-0.352700644186207,0.03758965417532478,trades,252,raw,1.0,21,17,5,2,-0.9001533738283746,1.3187276581078013,0.8980693349829667,0.8635756020802303,-0.9001533738283746,0.8808224685315985,3
trades|W252|raw|p1.0|c21|ph18,0.38047455719943807,0.3139581034948316,0.3139581034948316,0.03825041543541685,0.030235226013885175,0.11666254090091605,0.17882613712012407,0.18233290626483212,0.16582429706884383,10.336632792052843,50.10465332027066,0.006417951792166638,4340,0.5373989423408458,-0.3323619925662807,0.04070895567755273,trades,252,raw,1.0,21,18,6,0,-1.0552436908829317,1.4081210222856444,0.8737838439481734,0.5792506843837119,-1.0552436908829317,0.7265172641659426,3
trades|W252|raw|p1.0|c21|ph19,0.429812776975842,0.362847733640155,0.362847733640155,0.044340363275626515,0.036199511398781414,0.11696206209466257,0.18056875383966053,0.18374449250625058,0.19701004860077637,10.4404105594432,55.36872597795354,0.006458342086664411,4344,0.5752592199593994,-0.346405966721114,0.04195395175183421,trades,252,raw,1.0,21,19,6,1,-1.0332149591494733,1.4403751330195242,0.8658083093442148,0.7496176070773171,-1.0332149591494733,0.8077129582107659,3
trades|W252|raw|p1.0|c21|ph20,0.39309476393089915,0.3239995440625213,0.3239995440625213,0.0394386236794424,0.031186075488467413,0.11549820789884249,0.15622467575041343,0.15961371573576133,0.1953846844847319,10.631979854169847,50.14492605045993,0.006527553839104323,4452,0.5454684706140515,-0.3344035188495754,0.04153591740008987,trades,252,raw,1.0,21,20,6,2,-0.9096624237039457,1.3889103997792518,1.0732265325245867,0.3212692182480993,-0.9096624237039457,0.6972478753863429,3
trades|W252|neut_rv126|p1.0|c21|ph0,0.7859461941804857,0.7031132476802541,0.7031132476802541,0.09024060470074047,0.07957417978190118,0.1189950587747453,0.15077582857375327,0.15576461058584246,0.5108617386363737,13.136886796352574,78.47687195192478,0.007829105070189133,4537,0.7104804122334977,-0.3023404461010589,0.04106348975571547,trades,252,neut_rv126,1.0,21,0,0,0,-0.9544537094704668,1.0505843033169358,1.805567659736898,1.4205987277822802,-0.9544537094704668,1.235591515549608,3
trades|W252|neut_rv126|p1.0|c21|ph1,0.7183143122320697,0.63161688615789,0.63161688615789,0.08151137152260346,0.07042966399315387,0.11900594833480646,0.15450478169762316,0.15880903087221188,0.44348651714792076,13.755857839389257,69.47544568553623,0.008235314147729817,4395,0.7396711397376513,-0.3613209091108415,0.041654092395740965,trades,252,neut_rv126,1.0,21,1,0,1,-0.93845380490041,1.10429152732033,1.62198909989692,1.206464094211983,-0.93845380490041,1.1553778107661565,3
trades|W252|neut_rv126|p1.0|c21|ph2,0.7162923366799807,0.63311298762451,0.63311298762451,0.08078217785189756,0.07022434664826638,0.11829098858230504,0.14546582577873535,0.14647045016783866,0.47944378246804853,13.114547715336021,71.96313781239121,0.007830168384655426,4444,0.7139899658316404,-0.34036284620790513,0.03955209990051969,trades,252,neut_rv126,1.0,21,2,0,2,-0.8634227526667626,1.4902755071678615,1.2257932973566894,1.1043491112188055,-0.8634227526667626,1.1650712042877474,3
trades|W252|neut_rv126|p1.0|c21|ph3,0.8820875485137851,0.7979480447876073,0.7979480447876073,0.09932778089654803,0.08875615096564671,0.1148826939290913,0.124182253175939,0.12501732154194334,0.7099508281807894,12.900642444936613,86.09845568568308,0.007656681575309154,4349,0.752778010587084,-0.313052478740261,0.035807306101366274,trades,252,neut_rv126,1.0,21,3,1,0,-0.3536980560939133,1.6604699432034975,0.9960362877268221,1.082277166096855,-0.3536980560939133,1.0391567269118385,3
trades|W252|neut_rv126|p1.0|c21|ph4,0.8702113715898704,0.7819207804641898,0.7819207804641898,0.09794435576056726,0.08686939272649674,0.11501411270820669,0.1247363439454624,0.12557707770608395,0.6917615405083447,13.548586269314482,81.31500648962752,0.008045087568272113,4267,0.6866464635846168,-0.2504926595574725,0.03382424997634776,trades,252,neut_rv126,1.0,21,4,1,1,-0.4211020081620751,1.4076397393568352,1.169070014222847,1.181851037988255,-0.4211020081620751,1.1754605261055509,3
trades|W252|neut_rv126|p1.0|c21|ph5,0.9594466308453994,0.8760333697247524,0.8760333697247524,0.10962354911631111,0.09902258302957545,0.11538342691838807,0.11609373881209406,0.11769032711167504,0.8413825117132525,12.82026990647911,93.85018959990859,0.0076196267484743485,4334,0.7542234991534813,-0.2778941894855029,0.03351912723706378,trades,252,neut_rv126,1.0,21,5,1,2,-0.008334894687637968,1.638376777404057,0.5796541135002308,1.3604612294287581,-0.008334894687637968,0.9700576714644944,3
trades|W252|neut_rv126|p1.0|c21|ph6,0.7998214123138654,0.7196003697666408,0.7196003697666408,0.09171542529285714,0.08140616319060001,0.11851890314934166,0.1338248570460946,0.1349997263723024,0.603009838450324,12.667032977149978,82.07588269160635,0.007626587520922838,4343,0.6842898330528799,-0.2726992347440236,0.037973211950753115,trades,252,neut_rv126,1.0,21,6,2,0,-0.27337155920118533,1.4913001477039456,0.33853214479697763,1.3733626918005948,-0.27337155920118533,0.8559474182987862,3
trades|W252|neut_rv126|p1.0|c21|ph7,0.9896713444625773,0.9084961709816729,0.9084961709816729,0.1163129938722216,0.10567659130536544,0.1182691832003739,0.12751658430367996,0.1287312294271944,0.8209087396709142,12.783200611582235,98.78881750312026,0.007614816006136032,4430,0.7108742125741083,-0.21092904585978728,0.036308609758310344,trades,252,neut_rv126,1.0,21,7,2,1,0.06984556119921372,1.5866986975141986,0.7024418652733045,1.3654417445730378,0.06984556119921372,1.0339418049231712,4
