config,sharpe_1x,sharpe_2x,sharpe_3x,ret_1x,ret_2x,vol_1x,dd_1x,dd_2x,calmar_2x,turnover,gross_edge,cost_share,trades,long_gross,short_gross,top5,stage,cell,aw,vw,neut,power,cadence,phase,quantity,weekday,slot,F1,F2,F3,F4,worst,median_fold,npos
deskclosed|trades|a126|v378|R|p1.0|c21|ph4,0.566922029330152,0.4701476946044697,0.4701476946044697,0.062472423311519476,0.05026692494007223,0.11953387668321107,0.20581185215659714,0.20960772445122644,0.23981427722511642,15.406517779421483,51.36027894957816,0.008566753051305227,6793,0.3562614795206577,-0.0430001073575112,0.031995730147933915,A,deskclosed,126,378,False,1.0,21,4,trades,1,1,-0.0002903476165608031,1.5795208682910173,1.4107611237246938,-0.768985482953278,-0.768985482953278,0.7052353880540665,2
deskclosed|trades|a126|v189|N|p1.0|c21|ph4,0.47501101100257886,0.36605726521095844,0.36605726521095844,0.05118530387095088,0.037492820563480134,0.12040715060669176,0.13950372699513858,0.1437798921269129,0.26076539639065555,17.436081953269458,40.15967548845596,0.009792914517258245,7112,0.39364814566700745,-0.11643483527432305,0.036519762245471175,A,deskclosed,126,189,True,1.0,21,4,trades,1,1,-0.23636550120071997,1.1861300655173372,0.8255008001839832,-0.0688091477965256,-0.23636550120071997,0.3783458261937288,2
deskclosed|trades|a126|v252|N|p1.0|c21|ph4,0.43204672070108613,0.3233786536449761,0.3233786536449761,0.04562326002573025,0.032084408784366136,0.11998516543895571,0.13681697649888747,0.14116055371993508,0.22729018793750375,17.327279848025672,37.28035127604255,0.009758952187688005,7255,0.3951564324281208,-0.13942425990142565,0.03576033236098854,A,deskclosed,126,252,True,1.0,21,4,trades,1,1,-0.26276740345814187,1.1682635444894,0.8012834581735295,-0.16880640285759796,-0.26276740345814187,0.3162385276579658,2
deskclosed|trades|a126|v378|N|p1.0|c21|ph4,0.40333407586057607,0.29681320156618185,0.29681320156618185,0.04201876251668413,0.02879538132857884,0.11993739154215252,0.14044623963423875,0.14541888154685523,0.19801679824707438,17.00206893327453,35.82250245793255,0.009596059704044072,7012,0.3994983941701968,-0.15837870426885997,0.03495405054480437,A,deskclosed,126,378,True,1.0,21,4,trades,1,1,-0.4063747710695814,1.2439801247478146,1.0403804608926492,-0.3261402828899292,-0.4063747710695814,0.35712008900136005,2
deskclosed|trades|a126|v504|N|p1.0|c21|ph4,0.2884625252139986,0.1830827219817555,0.1830827219817555,0.027749213015964447,0.014849938204468005,0.1198667238763557,0.1738472030348035,0.18059208038339947,0.08222917734233628,16.80941842418148,27.918482386530275,0.009524071909766577,7092,0.34475213180990183,-0.15896335415680363,0.03377015206604995,A,deskclosed,126,504,True,1.0,21,4,trades,1,1,-0.2630789347599043,1.129643411446394,0.880498189852382,-0.7277647337050436,-0.7277647337050436,0.3087096275462389,2
deskclosed|trades|a189|v378|R|p1.0|c21|ph4,0.6087529339656625,0.5284362756453296,0.5284362756453296,0.06790571924527256,0.05770204407580026,0.11976682578504588,0.18294595215891274,0.18609597595776706,0.3100660494071901,12.81677129946879,64.15323142699643,0.0071899683066029224,6577,0.4467443393802075,-0.12122847862955904,0.03404702548074415,A,deskclosed,189,378,False,1.0,21,4,trades,1,1,-0.5105115011107707,2.157968371007333,1.6120518900031762,-0.6116381006557684,-0.6116381006557684,0.5507701944462027,2
deskclosed|trades|a189|v189|N|p1.0|c21|ph4,0.7949938176778364,0.7001588539893773,0.7001588539893773,0.09107336342715988,0.07889737122777007,0.1185074135118228,0.175514993226216,0.17897019663881686,0.4408408366840785,14.972592158168794,70.18928766349784,0.008329916716225353,6675,0.5087151791811068,-0.09266777910063387,0.03038758049833723,A,deskclosed,189,189,True,1.0,21,4,trades,1,1,-0.4049230628418057,1.8626231840817895,1.22251399124504,0.5058904405377189,-0.4049230628418057,0.8642022158913795,3
deskclosed|trades|a189|v252|N|p1.0|c21|ph4,0.7179372773149729,0.6239021937679708,0.6239021937679708,0.08169358986979325,0.06963148300119104,0.11933970030071084,0.1768580038233103,0.18044350995682656,0.3858907589297685,14.958966479553935,64.51917479217872,0.00837854438803357,6913,0.49000477839209333,-0.10791503866832156,0.032579636060921686,A,deskclosed,189,252,True,1.0,21,4,trades,1,1,-0.5669934751192569,2.084785019463679,1.156297657358211,0.25159157508062124,-0.5669934751192569,0.7039446162194162,3
deskclosed|trades|a189|v378|N|p1.0|c21|ph4,0.5726690999280963,0.48205954836629344,0.48205954836629344,0.06338761678059579,0.05190707271334816,0.11993644636103003,0.18332450583854254,0.18685179180471534,0.27779809983089626,14.480489020035451,54.676867308676826,0.008119131518218544,6855,0.45756837977006415,-0.14412302707126498,0.031851394106187446,A,deskclosed,189,378,True,1.0,21,4,trades,1,1,-0.655610743300412,2.027842284754792,1.2641605797721782,-0.17583096676476656,-0.655610743300412,0.5441648065037058,2
deskclosed|trades|a189|v504|N|p1.0|c21|ph4,0.35249457972525977,0.2626951286634588,0.2626951286634588,0.035842362582122034,0.024688468068379432,0.12062797251062145,0.18655142606774888,0.19003456425876397,0.12991567173412694,14.426516374933959,36.699721470878494,0.008198329586677214,7152,0.38462157127136026,-0.17501773652309105,0.033856461808561125,A,deskclosed,189,504,True,1.0,21,4,trades,1,1,-0.7046566208339817,1.9223938328672485,1.0113655823219292,-0.7440536871296973,-0.7440536871296973,0.15335448074397373,2
deskclosed|trades|a252|v378|R|p1.0|c21|ph4,0.5014088747074855,0.42682422564562117,0.42682422564562117,0.05325830222823713,0.04410684913594465,0.11725907567170035,0.1782101754217662,0.18075526789095053,0.2440141836560706,11.625026311724808,58.10797609941535,0.006550776537761511,6874,0.36648303812705896,-0.09905639283775824,0.032523032632812275,A,deskclosed,252,378,False,1.0,21,4,trades,1,1,-0.45465992423757917,1.9331167333296544,0.8885903308447074,-0.3197774091674273,-0.45465992423757917,0.2844064608386401,2
deskclosed|trades|a252|v189|N|p1.0|c21|ph4,0.5109915209498005,0.42245592657468306,0.42245592657468306,0.05499685516088504,0.04398065564393594,0.11857569951640845,0.15840463909911795,0.16166405417833984,0.27204968889013903,13.992038075340025,50.589274485836135,0.007850196197521688,6813,0.44502895383044716,-0.16479909240580629,0.029742699923381306,A,deskclosed,252,189,True,1.0,21,4,trades,1,1,-0.579550129859627,1.4544061588991388,0.9782091682768018,0.19362755537034704,-0.579550129859627,0.5859183618235744,3
deskclosed|trades|a252|v252|N|p1.0|c21|ph4,0.4654069607854562,0.3786011215805978,0.3786011215805978,0.04919701202119131,0.038481658403757946,0.1182716917269009,0.1607965014016094,0.16407712334346858,0.23453396561081155,13.680695530579856,47.60050838137098,0.00770927320072539,7033,0.4312448389762056,-0.17343781158582822,0.030007776797310932,A,deskclosed,252,252,True,1.0,21,4,trades,1,1,-0.6162482938976999,1.6719879258601407,0.7606409266151036,0.04546758718356278,-0.6162482938976999,0.4030542568993332,3
deskclosed|trades|a252|v378|N|p1.0|c21|ph4,0.45218523496610136,0.36692314952586164,0.36692314952586164,0.04767784851468404,0.03714352105543228,0.11861372850821815,0.16385733347848064,0.16702808600894514,0.22237889413067377,13.469037950306678,47.21999061618541,0.0075808372829254105,7177,0.4244717873582184,-0.17268237998162947,0.030074410201225827,A,deskclosed,252,378,True,1.0,21,4,trades,1,1,-0.7229106943110614,1.5906510230949924,0.8880822836572754,0.13976852152121083,-0.7229106943110614,0.5139254025892431,3
deskclosed|trades|a252|v504|N|p1.0|c21|ph4,0.2920471524223998,0.2081947902061871,0.2081947902061871,0.02831606874838677,0.017970319666503087,0.12061306950194238,0.1646719642430905,0.167803633841479,0.10709136182044375,13.474452824861524,33.43478773334115,0.007652009371214424,7791,0.40868578883447026,-0.2303310342640521,0.032162272296594296,A,deskclosed,252,504,True,1.0,21,4,trades,1,1,-0.7838770940296579,1.689255280087804,0.5096488194397676,-0.22023512543322912,-0.7838770940296579,0.14470684700326925,2
deskclosed|trades|a315|v378|R|p1.0|c21|ph4,0.34766956059583803,0.2792618282536324,0.2792618282536324,0.03447171291246698,0.02620749617271434,0.1173382600447715,0.18441112706849005,0.18675509791671596,0.14033082076507308,10.687382717892998,45.568429162863076,0.006041398639134056,7095,0.36708178863506125,-0.17428029133433476,0.027689431913328857,A,deskclosed,315,378,False,1.0,21,4,trades,1,1,-0.4233337735407861,0.8319132391357512,1.30676481312174,-0.1989746035809801,-0.4233337735407861,0.3164693177773856,2
deskclosed|trades|a315|v189|N|p1.0|c21|ph4,0.33975685323974214,0.2576017515381936,0.2576017515381936,0.03395324294038948,0.023871966834908775,0.1192547860000105,0.15808120416219107,0.16101827064062813,0.14825626147847473,13.050014974173305,38.20881550339076,0.007301837606872628,6913,0.44591607495272756,-0.24851497552767163,0.025865533775929064,A,deskclosed,315,189,True,1.0,21,4,trades,1,1,-0.6183030981525289,0.47380782978611374,1.3791986638496372,0.20184572234385847,-0.6183030981525289,0.3378267760649861,3
deskclosed|trades|a315|v252|N|p1.0|c21|ph4,0.41115853073542874,0.3309504316799205,0.3309504316799205,0.042899012405605896,0.03294167691296468,0.1195986594537969,0.15501161564928256,0.15787973580719583,0.20865044360850307,12.787012840286225,45.57172586348473,0.007147114717517848,6894,0.45447415113608036,-0.22377841901328488,0.026038471771276706,A,deskclosed,315,252,True,1.0,21,4,trades,1,1,-0.6210460072755374,0.7090816236036781,1.583536574410754,0.13764771667955802,-0.6210460072755374,0.42336467014161805,3
deskclosed|trades|a315|v378|N|p1.0|c21|ph4,0.318616931501925,0.239681829131391,0.239681829131391,0.03146381145763555,0.021754776767585193,0.11981284855244585,0.15192308850477643,0.15479447836090732,0.14053974662367072,12.597691359261084,37.48153679830048,0.007078889526757445,7232,0.4280068359392604,-0.24107497221060378,0.02673583260647315,A,deskclosed,315,378,True,1.0,21,4,trades,1,1,-0.6723702395541562,0.5567707356873288,1.4420149446109092,0.14226296701861874,-0.6723702395541562,0.3495168513529738,3
deskclosed|trades|a315|v504|N|p1.0|c21|ph4,0.2147408894004606,0.13664719600972575,0.13664719600972575,0.018723195682786242,0.009222739800660351,0.11997730230404273,0.15211563117301852,0.15682961850159083,0.058807385293529864,12.486509145854125,27.853251455665326,0.007052201293524021,7756,0.38667372909453507,-0.24898705095287843,0.026906828471464826,A,deskclosed,315,504,True,1.0,21,4,trades,1,1,-0.7255916447737315,0.655395877022891,1.2712802519924853,-0.16352579982773907,-0.7255916447737315,0.24593503859757598,2
deskclosed|trades|a378|v378|R|p1.0|c21|ph4,0.6116136510430552,0.549955109243572,0.549955109243572,0.06776680559238657,0.05998981252028934,0.11879465859891056,0.17723941810504396,0.179285392281187,0.3346051329502781,9.74690117815406,81.75687015594771,0.005432412800954658,7013,0.39170638491042337,-0.07623076471992851,0.03051424549418369,A,deskclosed,378,378,False,1.0,21,4,trades,1,1,-0.5490725022214227,1.3712390291809406,1.8883815420200751,0.096574278852531,-0.5490725022214227,0.7339066540167358,3
deskclosed|trades|a378|v189|N|p1.0|c21|ph4,0.6074803306557925,0.5330663985582844,0.5330663985582844,0.06767617751165922,0.05821672534555078,0.11961624554954614,0.15579251427500196,0.1585489903353472,0.3671844596576522,11.862179865182847,68.3188421155022,0.006623425068725281,6456,0.49907617560428263,-0.17824247193355863,0.029104420855406432,A,deskclosed,378,189,True,1.0,21,4,trades,1,1,-0.6695052973937784,0.8393741948913569,1.5162793227420728,0.9258558838573391,-0.6695052973937784,0.8826150393743479,3
deskclosed|trades|a378|v252|N|p1.0|c21|ph4,0.572755056594865,0.5012843766562554,0.5012843766562554,0.0640228799770155,0.054847558414895525,0.12122140471435416,0.16398170776947152,0.17055639673613043,0.321580189687935,11.542606718038993,67.08663923314292,0.006461862960023416,6732,0.4990364669104193,-0.19247686938821973,0.029754425428378042,A,deskclosed,378,252,True,1.0,21,4,trades,1,1,-0.8110431223799106,0.9489335829018468,1.6066567332062782,0.8076808496676556,-0.8110431223799106,0.8783072162847512,3
deskclosed|trades|a378|v378|N|p1.0|c21|ph4,0.5744828931168638,0.5034446125751421,0.5034446125751421,0.06421362594876556,0.055097273928117474,0.12114434854381373,0.17557325941791746,0.1819362101973172,0.30283841720327276,11.46337776117079,67.73663099884664,0.00642641325999191,7073,0.4705503561876839,-0.16314517764090808,0.03122437212008039,A,deskclosed,378,378,True,1.0,21,4,trades,1,1,-0.8386632484821482,1.0320826149126707,1.5583719104690192,0.8257971198267267,-0.8386632484821482,0.9289398673696987,3
