config,sharpe_1x,sharpe_2x,sharpe_3x,ret_1x,ret_2x,vol_1x,dd_1x,dd_2x,calmar_2x,turnover,gross_edge,cost_share,trades,long_gross,short_gross,top5,stage,cell,aw,vw,neut,power,cadence,phase,quantity,weekday,slot,F1,F2,F3,F4,worst,median_fold,npos
deskclosed|volume|a252|v378|N|p0.6|c21|ph0,0.6830387754089067,0.5943998547548196,0.5943998547548196,0.07558107899528044,0.06451954685714179,0.11665256199636595,0.10552611599415529,0.10757213723332548,0.5997793528746015,13.781742017074306,65.2181485681413,0.007829246155744235,7650,0.6070135938380368,-0.25117949406155266,0.03145184194547589,B,deskclosed,252,378,True,0.6,21,0,volume,0,0,-0.22402564667073743,1.5421337523795873,0.9694207913762739,0.4675421037556376,-0.22402564667073743,0.7184814475659558,3
deskclosed|volume|a252|v378|N|p0.6|c21|ph1,0.8520407999057419,0.7571349689848469,0.7571349689848469,0.09769344389059698,0.08553482411916047,0.117517774932895,0.09675417518723672,0.09892849278580673,0.8646126278741016,14.844880914861097,74.82468647761146,0.00830502808206688,7573,0.6068030404842635,-0.16706239813793994,0.031481799050194444,B,deskclosed,252,378,True,0.6,21,1,volume,0,1,0.05688509893881142,1.822104383169519,1.0024576852418579,0.4833182888303751,0.05688509893881142,0.7428879870361165,4
deskclosed|volume|a252|v378|N|p0.6|c21|ph2,0.7848690990318284,0.6946438223627079,0.6946438223627079,0.08800251774174983,0.07667950754825181,0.11605993722913256,0.0890367472595992,0.09268034663878899,0.8273545614487329,13.946620905956948,72.7716793928035,0.00785178929786639,7931,0.5459717930697457,-0.14417508310072272,0.030243908759918937,B,deskclosed,252,378,True,0.6,21,2,volume,0,2,-0.05722116683338486,1.690321518081425,0.8945516982066475,0.5574486779064615,-0.05722116683338486,0.7260001880565545,3
deskclosed|volume|a252|v378|N|p0.6|c21|ph3,0.842121235677829,0.7544229030966162,0.7544229030966162,0.09446718634952589,0.08348035102441775,0.11506626844825882,0.09069938819697798,0.0931826427917809,0.8958787658658365,13.455348980527491,79.5120552322276,0.007562193914678301,8096,0.5516105963995487,-0.12806231088148678,0.028561947046896477,B,deskclosed,252,378,True,0.6,21,3,volume,1,0,0.40716253930972846,1.5543399095105104,0.5929137591917678,0.5658872191459523,0.40716253930972846,0.57940048916886,4
deskclosed|volume|a252|v378|N|p0.6|c21|ph4,0.801201394614619,0.7108155713083422,0.7108155713083422,0.08949661709394219,0.07820414201175163,0.1152884144262464,0.09359329522253323,0.09741400035132142,0.8028018737523368,13.906719235984994,73.87811808596874,0.007805875735016153,8138,0.5359988620879246,-0.129260164736686,0.02734770255105004,B,deskclosed,252,378,True,0.6,21,4,volume,1,1,0.19997349282067378,1.6714150609232887,0.8744698030531891,0.3049152511001076,0.19997349282067378,0.5896925270766483,4
deskclosed|volume|a252|v378|N|p0.6|c21|ph5,0.8755829352362333,0.7887600523096632,0.7887600523096632,0.10013395261121039,0.08903705722942545,0.11678832452289063,0.10158546241716948,0.10341648995804953,0.8609560938061519,13.525312484112746,82.97882607208523,0.00753022357681463,8355,0.5885246136614264,-0.14421104436985027,0.029345926245328814,B,deskclosed,252,378,True,0.6,21,5,volume,1,2,0.8871022845225319,1.536306429628432,0.4819588801550419,0.22610904559806042,0.22610904559806042,0.6845305823387869,4
deskclosed|volume|a252|v378|N|p0.6|c21|ph6,0.6302902482407344,0.5453097721575804,0.5453097721575804,0.07028159180452609,0.05952978596966463,0.11899585045204801,0.11633008736941364,0.12871579361193974,0.46249014436517927,13.448899042505593,63.00322973935546,0.007543790046888378,7955,0.5249892665340553,-0.1895417898249686,0.028101092147146532,B,deskclosed,252,378,True,0.6,21,6,volume,2,0,0.6828247963849051,1.3984568984543546,0.04036332117108154,0.008156813970241898,0.008156813970241898,0.36159405877799333,4
deskclosed|volume|a252|v378|N|p0.6|c21|ph7,0.7525028603965966,0.6673156374933704,0.6673156374933704,0.0853037169814932,0.07445896214473335,0.11804855025994153,0.09995836034987815,0.10339107523981483,0.7201681767215047,13.393338148818447,73.55565276323648,0.007509529305652504,8313,0.5657095255769671,-0.17569581868359246,0.02761076455517897,B,deskclosed,252,378,True,0.6,21,7,volume,2,1,0.6212299171792939,1.4572277721790106,0.3463656050897096,0.24751480037464374,0.24751480037464374,0.48379776113450174,4
deskclosed|volume|a252|v378|N|p0.6|c21|ph8,0.7673964217360355,0.683529348369152,0.683529348369152,0.0876969145763089,0.07693513374262606,0.11873289621967553,0.11044951340487974,0.11380167851792067,0.6760456853060465,13.253873976435303,75.89580680742719,0.007407823654361617,8455,0.5712461055442017,-0.173014612964427,0.02734709456349256,B,deskclosed,252,378,True,0.6,21,8,volume,2,2,0.43069152323406745,1.578175460239563,0.4528781166644562,0.35859110565288427,0.35859110565288427,0.44178481994926183,4
deskclosed|volume|a252|v378|N|p0.6|c21|ph9,0.6840608311845052,0.5975003712625092,0.5975003712625092,0.07629485474485143,0.06541145308830609,0.1176010637395271,0.08690140562796977,0.09027979549334231,0.7245414406496952,13.549448667151351,66.55010698976531,0.00762420908027744,8275,0.5932109683443554,-0.2362297523273512,0.027367516391143282,B,deskclosed,252,378,True,0.6,21,9,volume,3,0,0.10174456278601095,1.7835171331140338,0.040250301517213316,0.5481884790896854,0.040250301517213316,0.32496652093784817,4
